time,input,output
0.00,330,0
0.44,330,0
0.45,330,0
0.46,330,0
0.47,330,0
0.48,330,0
0.50,330,0
0.51,330,0
0.52,330,0
0.53,330,0
0.54,330,0
0.55,330,0
0.56,330,0
0.57,330,0
0.58,330,0
0.60,330,0
0.61,330,0
0.62,330,0
0.63,330,0
0.64,330,0
0.65,330,0
0.67,330,0
0.68,330,0
0.69,330,0
0.70,330,0
0.71,330,0
0.72,330,0
0.74,330,0
0.75,330,0
0.76,330,0
0.77,330,0
0.78,330,0
0.79,330,0
0.81,330,0
0.82,330,0
0.83,330,0
0.84,330,0
0.85,330,0
0.86,330,0
0.87,330,0
0.88,330,0
0.90,330,0
0.91,330,0
0.92,330,0
0.93,330,0
0.94,330,0
0.95,330,0
0.96,330,0
0.97,330,0
0.98,330,0
0.99,330,0
1.01,330,0
1.02,330,0
1.03,331,0
1.04,345,0
1.05,351,0
1.06,359,0
1.07,368,0
1.08,371,0
1.09,371,0
1.10,371,0
1.12,371,0
1.13,371,0
1.14,371,0
1.15,371,0
1.16,371,0
1.17,374,0
1.18,384,0
1.19,388,0
1.20,391,0
1.21,391,0
1.23,393,0
1.24,393,0
1.25,396,0
1.26,399,0
1.27,401,0
1.28,402,0
1.29,404,0
1.30,405,0
1.31,405,0
1.32,405,0
1.34,405,0
1.35,405,0
1.36,405,0
1.37,405,0
1.38,407,0
1.39,410,0
1.40,418,0
1.41,419,0
1.42,421,0
1.43,425,0
1.45,433,0
1.46,439,0
1.47,442,0
1.48,444,0
1.49,444,0
1.50,444,0
1.51,444,0
1.52,445,0
1.53,445,0
1.54,445,0
1.56,445,0
1.57,449,0
1.58,449,0
1.59,449,0
1.60,450,0
1.61,452,0
1.62,453,0
1.63,458,0
1.64,458,0
1.65,462,0
1.67,464,0
1.68,466,0
1.69,467,0
1.70,467,0
1.71,469,13
1.72,469,13
1.73,469,13
1.74,469,13
1.75,470,13
1.77,469,13
1.78,467,13
1.79,470,13
1.80,470,13
1.81,470,28
1.82,470,28
1.83,470,28
1.84,470,28
1.85,470,28
1.86,470,28
1.88,470,28
1.89,469,28
1.90,470,28
1.91,470,37
1.92,469,37
1.93,469,37
1.94,470,37
1.95,470,37
1.96,470,37
1.97,470,37
1.99,469,37
2.00,470,37
2.01,470,42
2.02,469,42
2.03,470,42
2.04,470,42
2.05,470,42
2.06,470,42
2.08,469,42
2.09,469,42
2.10,469,42
2.11,469,45
2.12,466,45
2.13,464,45
2.14,462,45
2.15,447,45
2.16,444,45
2.17,442,45
2.19,435,45
2.20,430,45
2.21,422,48
2.22,419,48
2.23,411,48
2.24,405,48
2.25,404,48
2.26,390,48
2.27,384,48
2.28,373,48
2.30,371,48
2.31,367,48
2.32,359,48
2.33,351,48
2.34,350,48
2.35,345,48
2.36,334,48
2.37,331,48
2.38,330,48
2.40,330,48
2.41,330,53
2.42,330,53
2.43,330,53
2.44,330,53
2.45,330,53
2.46,330,53
2.47,330,53
2.48,330,53
2.50,330,53
2.51,330,51
2.52,330,51
2.53,330,51
2.54,330,51
2.55,330,51
2.56,330,51
2.57,330,51
2.58,330,51
2.59,330,51
2.61,330,50
2.62,330,50
2.63,330,50
2.64,330,50
2.65,330,50
2.66,330,50
2.67,330,50
2.68,330,50
2.69,330,50
2.70,330,48
2.71,330,48
2.73,330,48
2.74,330,48
2.75,330,48
2.76,330,48
2.77,330,48
2.78,330,48
2.79,330,48
2.80,330,48
2.81,330,48
2.83,330,48
2.84,330,48
2.85,330,48
2.86,330,48
2.87,330,48
2.88,330,48
2.89,330,48
2.90,330,44
2.91,330,44
2.92,330,44
2.94,330,44
2.95,330,44
2.96,330,44
2.97,330,44
2.98,330,44
2.99,330,44
3.00,330,44
3.01,330,42
3.02,330,42
3.04,330,42
3.05,330,42
3.06,330,42
3.07,330,42
3.08,330,42
3.09,330,42
3.10,330,42
3.11,330,41
3.12,330,41
3.13,330,41
3.15,330,41
3.16,330,41
3.17,330,41
3.18,330,41
3.19,330,41
3.20,330,41
3.21,330,38
3.22,330,38
3.23,330,38
3.24,330,38
3.25,330,38
3.27,330,38
3.28,330,38
3.29,330,38
3.30,330,38
3.31,330,37
3.32,330,37
3.33,330,37
3.34,330,37
3.35,330,37
3.36,330,37
3.37,330,37
3.39,330,37
3.40,330,37
3.41,330,34
3.42,330,34
3.43,330,34
3.44,330,34
3.45,330,34
3.46,330,34
3.47,330,34
3.48,330,34
3.50,330,34
3.51,330,33
3.52,330,33
3.53,330,33
3.54,330,33
3.55,330,33
3.56,330,33
3.57,330,33
3.58,330,33
3.59,330,33
3.60,330,31
3.62,330,31
3.63,330,31
3.64,330,31
3.65,330,31
3.66,330,31
3.67,330,31
3.68,330,31
3.69,330,31
3.70,330,29
3.72,330,29
3.73,330,29
3.74,330,29
3.75,330,29
3.76,330,29
3.77,330,29
3.78,330,29
3.79,330,29
3.80,330,29
3.81,330,28
3.82,330,28
3.84,330,28
3.85,330,28
3.86,330,28
3.87,330,28
3.88,330,28
3.89,330,28
3.90,330,28
3.91,330,25
3.92,330,25
3.93,330,25
3.94,330,25
3.96,330,25
3.97,330,25
3.98,330,25
3.99,330,25
4.00,330,25
4.01,330,25
4.02,330,25
4.03,330,25
4.04,330,25
4.05,330,25
4.07,330,25
4.08,330,25
4.09,330,25
4.10,330,25
4.11,330,22
4.12,330,22
4.13,330,22
4.14,330,22
4.15,330,22
4.16,330,22
4.17,330,22
4.19,330,22
4.20,330,22
4.21,330,22
4.22,330,22
4.23,330,22
4.24,330,22
4.25,330,22
4.27,330,22
4.28,330,22
4.29,330,22
4.30,330,22
4.31,330,20
4.32,330,20
4.33,330,20
4.35,330,20
4.36,330,20
4.37,330,20
4.38,330,20
4.39,330,20
4.40,330,20
4.41,330,18
4.42,330,18
4.43,330,18
4.44,330,18
4.45,330,18
4.47,330,18
4.48,330,18
4.49,330,18
4.50,330,18
4.51,330,17
4.52,330,17
4.53,330,17
4.54,330,17
4.55,330,17
4.56,330,17
4.57,330,17
4.59,330,17
4.60,330,17
4.61,330,15
4.62,330,15
4.63,330,15
4.64,330,15
4.65,330,15
4.66,330,15
4.67,330,15
4.68,330,15
4.70,330,15
4.71,330,15
4.72,330,15
4.73,330,15
4.74,330,15
4.75,330,15
4.76,330,15
4.77,330,15
4.78,330,15
4.79,330,15
4.80,330,14
4.82,330,14
4.83,330,14
4.84,330,14
4.85,330,14
4.86,330,14
4.87,330,14
4.88,330,14
4.89,330,14
4.90,330,14
4.91,330,13
4.92,330,13
4.94,330,13
4.95,330,13
4.96,330,13
4.97,330,13
4.98,330,13
4.99,330,13
5.00,330,13
5.01,330,10
5.02,330,10
5.03,330,10
5.04,330,10
5.06,330,10
5.07,330,10
5.08,330,10
5.09,330,10
5.10,330,10
5.11,330,10
5.12,330,10
5.13,330,10
5.14,330,10
5.15,330,10
5.16,330,10
5.18,330,10
5.19,330,10
5.20,330,10
5.21,330,8
5.22,330,8
5.23,330,8
5.24,330,8
5.25,330,8
5.26,330,8
5.27,330,8
5.29,330,8
5.30,330,8
5.31,330,8
5.32,330,8
5.33,330,8
5.34,330,8
5.35,330,8
5.36,330,8
5.37,330,8
5.38,330,8
5.39,330,8
5.41,330,7
5.42,330,7
5.43,330,7
5.44,330,7
5.45,330,7
5.46,330,7
5.47,330,7
5.48,330,7
5.49,330,7
5.50,330,7
5.51,330,4
5.53,330,4
5.54,330,4
5.55,330,4
5.56,330,4
5.57,330,4
5.58,330,4
5.59,330,4
5.60,330,4
5.61,330,4
5.62,330,4
5.63,330,4
5.65,330,4
5.66,330,4
5.67,331,4
5.68,331,4
5.69,331,4
5.70,333,4
5.71,333,2
5.72,333,2
5.73,333,2
5.74,336,2
5.76,340,2
5.77,345,2
5.78,345,2
5.79,347,2
5.80,347,2
5.81,348,1
5.82,348,1
5.83,348,1
5.84,350,1
5.85,350,1
5.86,348,1
5.88,351,1
5.89,351,1
5.90,351,1
5.91,353,0
5.92,354,0
5.93,356,0
5.94,357,0
5.95,365,0
5.96,362,0
5.97,362,0
5.99,364,0
6.00,364,0
6.01,365,0
6.02,365,0
6.03,367,0
6.04,367,0
6.05,367,0
6.06,365,0
6.07,367,0
6.09,367,0
6.10,367,0
6.11,367,0
6.12,367,0
6.13,367,0
6.14,367,0
6.15,368,0
6.16,368,0
6.17,368,0
6.18,368,0
6.20,368,0
6.21,368,4
6.22,368,4
6.23,368,4
6.24,368,4
6.25,368,4
6.26,368,4
6.27,368,4
6.28,368,4
6.29,368,4
6.31,368,8
6.32,368,8
6.33,368,8
6.34,368,8
6.35,368,8
6.36,368,8
6.37,368,8
6.38,368,8
6.39,368,8
6.40,368,8
6.42,368,12
6.43,368,12
6.44,368,12
6.45,368,12
6.46,368,12
6.47,368,12
6.48,368,12
6.49,368,12
6.50,368,12
6.51,368,14
6.52,367,14
6.54,367,14
6.55,367,14
